sn,BN,TN,instructed_hand,instructed_finger,force_center,success,r1,r2,r3,r4,r5,l1,l2,l3,l4,l5,Br1,Br2,Br3,Br4,Br5,Bl1,Bl2,Bl3,Bl4,Bl5,MD_p,MD_r1,MD_r2,MD_r3,MD_r4,MD_r5,MD_l1,MD_l2,MD_l3,MD_l4,MD_l5
s101,1,11,1,2,0.4,True,0.0,0.45866464354668496,0.05600054468614892,0.0652164397951591,0.12236957927858265,1.0,1.0,1.0,1.0,1.0,0.0,0.07624633431085044,0.05571847507331378,0.06838709677419354,0.12332355816226784,1.0,1.0,1.0,1.0,1.0,0.001855750376906301,0.0,-1.0,0.002304082398889118,0.003123090291843148,0.00138323519247894,0.0,0.0,0.0,0.0,0.0
s101,1,12,1,2,0.6,True,0.0,0.6431965295711083,0.06550823594636787,0.06722983323849958,0.12218477504948377,1.0,1.0,1.0,1.0,1.0,0.0,0.06913000977517106,0.06256109481915934,0.06826979472140762,0.12218963831867058,1.0,1.0,1.0,1.0,1.0,0.0011440984376237437,0.0,-1.0,0.002330978550481412,0.0014758545237981498,0.0005714393900696919,0.0,0.0,0.0,0.0,0.0
s101,1,13,1,1,0.6,True,0.5958380142299257,0.10614085000218848,0.09600579701687068,0.112438783599111,0.11933489930601149,1.0,1.0,1.0,1.0,1.0,0.0,0.08086021505376344,0.07534701857282503,0.0698338220918866,0.12304985337243401,1.0,1.0,1.0,1.0,1.0,0.01969191496086045,-1.0,0.02016203004324935,0.018630398014452633,0.03551499268312223,0.0030567854077830667,0.0,0.0,0.0,0.0,0.0
s101,1,14,1,1,0.6,True,0.6015863984087383,0.13101647189273574,0.1101141409278145,0.10945273631840796,0.11634398875612165,1.0,1.0,1.0,1.0,1.0,0.0,0.08148582600195503,0.0801564027370479,0.06674486803519061,0.11632453567937438,1.0,1.0,1.0,1.0,1.0,0.026511505637244668,-1.0,0.03853259286414551,0.025520760623641604,0.04047238715170813,0.0004560057899542614,0.0,0.0,0.0,0.0,0.0
s101,1,15,1,5,0.2,True,0.0,0.09801919046021115,0.08412483039348712,0.12282672658214305,0.30126493631549,1.0,1.0,1.0,1.0,1.0,0.0,0.06619745845552297,0.0795307917888563,0.06611925708699902,0.11483870967741935,1.0,1.0,1.0,1.0,1.0,0.021842059280696276,0.0,0.025344824291371536,0.0038290884898931517,0.045674010192545605,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,16,1,1,0.2,True,0.22242647952806838,0.08913399765590425,0.08464033692728927,0.0989869810283869,0.12739819961774704,1.0,1.0,1.0,1.0,1.0,0.0,0.08308895405669599,0.08238514173998045,0.06842619745845552,0.12918866080156402,1.0,1.0,1.0,1.0,1.0,0.012828606917540956,-1.0,0.005017281965170927,0.0021855175121862965,0.027981948572205595,0.0019886436654372964,0.0,0.0,0.0,0.0,0.0
s101,1,17,1,2,0.6,True,0.0,0.6521109019905361,0.06297447270003842,0.0684164709200819,0.11943702795893456,1.0,1.0,1.0,1.0,1.0,0.0,0.07347018572825025,0.06248289345063539,0.06807429130009775,0.1270772238514174,1.0,1.0,1.0,1.0,1.0,0.002541464621726424,0.0,-1.0,0.0008737519615161691,0.0008381871803517792,0.0057213125600324155,0.0,0.0,0.0,0.0,0.0
s101,1,18,1,5,0.2,True,0.0,0.09271336377739843,0.05909844715814865,0.11487528146170418,0.3152857413810712,1.0,1.0,1.0,1.0,1.0,0.0,0.08695992179863148,0.06256109481915934,0.06635386119257086,0.1203128054740958,1.0,1.0,1.0,1.0,1.0,0.016823906683696543,0.0,0.005284485351798062,0.0029983220566280186,0.0395350129799615,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,19,1,5,0.4,True,0.0,0.09032549860667338,0.06488087422126902,0.13448398282293322,0.5073994640677356,1.0,1.0,1.0,1.0,1.0,0.0,0.08504398826979472,0.06256109481915934,0.06611925708699902,0.12918866080156402,1.0,1.0,1.0,1.0,1.0,0.02494780125561616,0.0,0.004456401925881201,0.002309263273288665,0.05688249195754421,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,20,1,5,0.4,True,0.0,0.08265125982988285,0.06872772014803791,0.1275343711549778,0.5100596723129222,1.0,1.0,1.0,1.0,1.0,0.0,0.07608993157380255,0.06787878787878787,0.07374389051808407,0.12234604105571847,1.0,1.0,1.0,1.0,1.0,0.020786937674334795,0.0,0.005872153731242527,0.0014487083806399795,0.048567783733270094,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,21,1,2,0.6,True,0.0,0.6488768279813056,0.06842619745845552,0.07302198683999357,0.1239939111869781,1.0,1.0,1.0,1.0,1.0,0.0,0.07249266862170088,0.06557184750733137,0.06772238514173998,0.12868035190615834,1.0,1.0,1.0,1.0,1.0,0.0030382879060315156,0.0,-1.0,0.0026007809121387318,0.004688168559553251,0.0037955818739894894,0.0,0.0,0.0,0.0,0.0
